region,raw_text,declarer,channel,expected_status,expected_total
澳门,特码 01 各10,验收员A,csv验收,success,10
澳门,兔各10,验收员A,csv验收,success,40
香港,连肖 龙羊猴 各30,验收员B,csv验收,success,30
澳门,"N不中 08,09,10 各100",验收员A,csv验收,success,100
澳门,"平码 01,02,03 各10",验收员A,csv验收,success,30
澳门,"平尾 1,3,4,6 各1000",验收员A,csv验收,success,4000
澳门,"二中二 01,02 各10",验收员A,csv验收,success,10
澳门,"复2 01,02,03,04,05 各10",验收员A,csv验收,success,100
澳门,"二中二 01,02,03,04,05 拖 06,07,08,09,10 各5",验收员A,csv验收,success,125
澳门,特码 50 各10,验收员A,csv验收,failed,
澳门,澳门 特码 01 各10,验收员A,csv验收,duplicate_check,10
